"url,""Image"",""Name_surname"",""Details"",""ID"",""Degree"",""Date"",""Structure"",""More_details"",""More_details_link""";;;;;;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=2&offset=12,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112744&image=mini"",""Erminio Amadio"",""Erminio Amadio"",""Fascicolo N.: 4556"; Laurea conferita: Matematica; Data laurea: 09/01/1919; Struttura proponente: Scienze Matematiche, Fisiche e Naturali;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112744""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=2&offset=12,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18157&image=mini"",""Bruce Ames"",""Bruce Ames"",""Fascicolo N.: 57"; Laurea conferita: Chimica e tecnologia farmaceutiche; Data laurea: 20/03/1989; Struttura proponente: Farmacia;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18157""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=2&offset=12,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112640&image=mini"",""Elio Andalò"",""Elio Andalò"",""Fascicolo N.: 5890"; Laurea conferita: Ingegneria; Data laurea: 07/12/1946; Struttura proponente: Ingegneria;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112640""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=3&offset=24,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112438&image=mini"",""Alfredo Annoni"",""Alfredo Annoni"",""Fascicolo N.: 5348"; Laurea conferita: Agraria; Data laurea: 05/11/1941; Struttura proponente: Agraria;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112438""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=3&offset=24,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18281&image=mini"",""Piero Anversa"",""Piero Anversa"",""Fascicolo N.: 221"; Laurea conferita: Medicina e Chirurgia; Data laurea: 29/05/2002; Struttura proponente: Medicina e Chirurgia;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18281""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=3&offset=24,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112463&image=mini"",""Luigi Aquilanti"",""Luigi Aquilanti"",""Fascicolo N.: 551"; Laurea conferita: Agraria; Data laurea: 09/01/1919; Struttura proponente: Scienze;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112463""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=3&offset=24,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18311&image=mini"",""Armando Arcangeli"",""Armando Arcangeli"",""Fascicolo N.: 231"; Laurea conferita: Scienze motorie; Data laurea: 18/11/2002; Struttura proponente: Scienze Motorie;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18311""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=3&offset=24,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112549&image=mini"",""Mario Arduini"",""Mario Arduini"",""Laurea conferita: Economia e Commercio"; Data laurea: 07/12/1946; Struttura proponente: Economia e Commercio;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112549""";;;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=3&offset=24,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18255&image=mini"",""Vladimir Arnol'd"",""Vladimir Arnol'd"",""Fascicolo N.: 97"; Laurea conferita: Matematica; Data laurea: 10/09/1991; Struttura proponente: Scienze Matematiche, Fisiche e Naturali;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18255""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=3&offset=24,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112677&image=mini"",""Valeriano Arosio"",""Valeriano Arosio"",""Fascicolo N.: 1040"; Laurea conferita: Ingegneria; Data laurea: 09/01/1918; Struttura proponente: Ingegneria - R. Scuola d'Apllicazione per gli Ingegneri;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112677""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=3&offset=24,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112298&image=mini"",""Tobias Michael Carel Asser"",""Tobias Michael Carel Asser"",""Laurea conferita: Giurisprudenza"; Data laurea: 13/06/1888; Struttura proponente: Giurisprudenza;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112298""";;;
